iter	Passed	Remaining
607	2911	1877
608	2916	1872
609	2920	1867
610	2925	1862
611	2930	1857
612	2934	1852
613	2938	1847
614	2943	1842
615	2948	1837
616	2953	1833
617	2957	1827
618	2961	1823
619	2966	1818
620	2971	1813
621	2976	1808
622	2981	1803
623	2984	1798
624	2988	1793
625	2993	1788
626	2997	1783
627	3001	1778
628	3006	1773
629	3011	1768
630	3014	1763
631	3019	1757
632	3023	1753
633	3028	1748
634	3033	1743
635	3037	1738
636	3041	1733
637	3046	1728
638	3050	1723
639	3055	1718
640	3060	1714
641	3065	1709
642	3070	1705
643	3075	1700
644	3080	1695
645	3085	1690
646	3090	1686
647	3095	1681
648	3100	1676
649	3104	1671
650	3109	1667
651	3114	1662
652	3117	1656
653	3121	1651
654	3126	1646
655	3131	1642
656	3136	1637
657	3141	1632
658	3146	1627
659	3150	1623
660	3154	1618
661	3159	1613
662	3163	1607
663	3167	1602
664	3172	1598
665	3177	1593
666	3182	1588
667	3187	1584
668	3192	1579
669	3197	1574
670	3202	1570
671	3206	1565
672	3211	1560
673	3216	1555
674	3220	1550
675	3224	1545
676	3227	1539
677	3230	1534
678	3235	1529
679	3239	1524
680	3244	1519
681	3248	1514
682	3252	1509
683	3258	1505
684	3263	1500
685	3267	1495
686	3270	1489
687	3273	1484
688	3278	1479
689	3283	1475
690	3288	1470
691	3292	1465
692	3295	1459
693	3301	1455
694	3305	1450
695	3310	1446
696	3314	1440
697	3319	1436
698	3324	1431
699	3327	1426
700	3332	1421
701	3337	1416
702	3342	1412
703	3347	1407
704	3352	1402
705	3356	1397
706	3361	1393
707	3367	1388
708	3371	1383
709	3376	1378
710	3380	1374
711	3385	1369
712	3389	1364
713	3394	1359
714	3399	1354
715	3403	1350
716	3409	1345
717	3413	1340
718	3418	1335
719	3422	1331
720	3427	1326
721	3432	1321
722	3435	1316
723	3440	1311
724	3445	1306
725	3450	1302
726	3455	1297
727	3460	1293
728	3463	1287
729	3467	1282
730	3472	1277
731	3476	1272
732	3481	1268
733	3486	1263
734	3491	1258
735	3496	1254
736	3501	1249
737	3506	1244
738	3511	1240
739	3515	1235
740	3519	1230
741	3523	1225
742	3527	1220
743	3532	1215
744	3536	1210
745	3540	1205
746	3545	1200
747	3550	1196
748	3555	1191
749	3558	1186
750	3563	1181
751	3568	1176
752	3573	1172
753	3578	1167
754	3581	1162
755	3586	1157
756	3591	1152
757	3595	1147
758	3600	1143
759	3605	1138
760	3609	1133
761	3614	1128
762	3619	1124
763	3623	1119
764	3628	1114
765	3632	1109
766	3637	1105
767	3641	1100
768	3645	1095
769	3650	1090
770	3654	1085
771	3658	1080
772	3663	1075
773	3668	1071
774	3671	1065
775	3676	1061
776	3681	1056
777	3686	1051
778	3690	1047
779	3696	1042
780	3699	1037
781	3702	1032
782	3707	1027
783	3712	1022
784	3717	1018
785	3721	1013
786	3725	1008
787	3729	1003
788	3734	998
789	3738	993
790	3742	988
791	3746	983
792	3750	978
793	3754	974
794	3759	969
795	3763	964
796	3767	959
797	3771	954
798	3776	950
799	3781	945
800	3786	940
801	3791	936
802	3796	931
803	3801	926
804	3806	922
805	3810	917
806	3815	912
807	3819	907
808	3824	902
809	3829	898
810	3833	893
811	3838	888
812	3843	884
813	3847	879
814	3851	874
815	3856	869
816	3861	864
817	3865	860
818	3871	855
819	3875	850
820	3879	845
821	3884	841
822	3889	836
823	3893	831
824	3898	827
825	3903	822
826	3907	817
827	3911	812
828	3916	807
829	3921	803
830	3926	798
831	3931	793
832	3935	789
833	3938	784
834	3943	779
835	3948	774
836	3953	769
837	3956	764
838	3961	760
839	3966	755
840	3971	750
